results/description,results/Name_EN,results/name,results/power,results/address,results/provider,results/latitude,results/longitude,results/evConnectorCount,results/evConnectorAggregation
"2x CCS2: 160 kW, Type2: 11 kW",Lotus’s Pinklao,โลตัส ปิ่นเกล้า,160 kW,3 ถนน บรมราชชนนี แขวง อรุณอมรินทร์ เขตบางกอกน้อย กรุงเทพมหานคร 10700,Altervim,13.77654108831116,100.4784296423898,,
"2x CCS2: 160 kW, Type2: 11 kW",Lotus's Sukhapiban 1,โลตัส สุขาภิบาล 1,160 kW,629 799 ถนน นวมินทร์ แขวง นวลจันทร์ เขต บึงกุ่ม กรุงเทพมหานคร 10230,Altervim,13.8248563,100.6588743,,
"4x CCS2: 150 kW, 2x Type2: 11 kW",Lotus's North Ratchapruek,โลตัส นอร์ธ ราชพฤกษ์,150 kW,"ถนนราชพฤกษ์, ตำบลอ้อมเกร็ด อำเภอปากเกร็ด นนทบุรี 11120",Altervim,13.91254330746163,100.4514313531822,,
"2x CCS2: 60 kW, Type2: 11 kW",Lotus's Ang Thong,โลตัส อ่างทอง,60 kW,เลขที่ 73 ถ.เลี่ยงเมือง ต.โพสะ อ.เมืองอ่างทอง จ.อ่างทอง 14000,Altervim,14.580418,100.460229,,
"2x CCS2: 150 kW, Type2: 11 kW",Lotus's Rojana,โลตัส โรจนะ,150 kW,เลขที่ 101 ม. 3 ต.สามเรือน อ.บางปะอิน จ.พระนครศรีอยุธยา 13160,Altervim,14.31121104093369,100.6453425,,
"2x CCS2: 150 kW, Type2: 11 kW",Lotus Bang Pa-in,โลตัส บางปะอิน,150 kW,88 ม.9 ต.เชียงรากน้อย อ.บางปะอิน จ.พระนครศรีอยุธยา 13180,Altervim,14.18873,100.60944,,
"2x CCS2: 150 kW, Type2: 11 kW",Lotus's Sukhumvit 50,โลตัส สุขุมวิท50,150 kW,เลขที่ 1710 ถ.สุขุมวิท 50 แขวงพระโขนง เขตคลองเตย กทม. 10110,Altervim,13.70524516043091,100.6004240059956,,
"2x CCS2: 150 kW, Type2: 11 kW",Lotus's Bangkapi,โลตัส บางกะปิ,150 kW,3109 ถ. ลาดพร้าว แขวงคลองจั่น เขตบางกะปิ กรุงเทพมหานคร 10240,Altervim,13.7692901386824,100.644905448156,,
"2x CCS2: 150 kW, Type2: 11 kW",Lotus's Lak Si,โลตัส หลักสี่,150 kW,เลขที่ 599 ม. 3 ถ.พหลโยธิน แขวงอนุสาวรีย์ เขตบางเขน กทม. 10220,Altervim,13.87966902768068,100.6000378561918,,
"2x CCS2: 150 kW, Type2: 11 kW",Lotus's Ladprao,โลตัส ลาดพร้าว,150 kW,1190 ถ. พหลโยธิน แขวงจอมพล เขตจตุจักร กรุงเทพมหานคร 10900,Altervim,13.81843175004459,100.5633641957669,,
"2x CCS2: 150 kW, Type2: 11 kW",Lotus's Chaengwattana,โลตัส แจ้งวัฒนะ,150 kW,เลขที่ 300 ม.1 ถ.แจ้งวัฒนะ แขวงทุ่งสองห้อง เขตหลักสี่ กทม. 10210,Altervim,13.89580422139578,100.5564390936948,,
